드럼스틱 등장횟수,관련명사,드럼스틱 등장횟수,관련서술어
2381,드럼,74,좋은
1815,스틱,66,쳐
419,기타,66,많은
288,드러머,61,크
267,악기,42,좋아요
218,팔,39,크로
182,연습,36,되었습니다
159,광명,33,없는
142,비트,31,그립
137,선물,30,감사합니다
134,꽃,29,해서
120,판매,28,입고
112,케이스,27,다양한
110,피아노,25,먹
106,악기점,24,가
105,나,23,들
103,베이스,22,드립니다
103,핑,21,보세요
102,중,20,주세요
101,연주,20,보니
99,카,19,멋진
99,음악,18,치는
96,거스,18,써
92,선,18,어드럼
90,타악기,17,하겠습니다
90,일상,17,새로운
90,밴드,16,만나
88,혼,16,만들어
86,바이올린,15,하실
86,플,15,했는데
86,취미,15,좋아하는
85,렉,15,하면
84,내,15,했습니다
83,삼익,14,있어서
83,인친,14,가능합니다
83,것,14,배우기
83,레슨,14,새로
82,거,13,한다
82,어쿠스틱,13,되는
81,프로,13,와
81,공연,13,넘
81,학원,13,했다
78,도매,13,갈
77,현악기,13,되기
77,첼로,13,좋
77,룻,12,쓰
77,카시오,12,하시는
76,클라리넷,12,받은
76,우쿠,12,먹어
76,렐레,12,파라디
76,철산,12,어릴
76,소매,12,하고
75,오늘,12,않을
75,영상,12,싶은
70,감사,11,참
68,가죽,11,져
67,손,11,있는데
67,패드,11,하게
67,마크,11,같아요
67,사거리,11,좋아
67,소하동,11,작은
65,홍대,11,미
63,사랑,11,이런
63,제품,11,특별한
62,빅,11,오셔서
62,번,11,해보세요
61,아들,11,예쁜
61,때,11,큰
61,맛집,11,몰
60,출시,10,그래
59,꽃집,10,만든
59,각인,10,보는
57,플라워,10,좋다
56,상가,10,가는
54,주문,10,신나게
54,가방,10,해주신
54,시그,10,는
53,문,10,미텐
53,트,10,두구
52,채널,9,있다
51,낙원,9,원하시는
50,수업,9,싶다
49,하나,9,될
49,퍼커션,9,하다가
48,가능,9,먹고
48,사진,9,오세요
48,제작,9,착한
48,헤드,9,아닌
48,공방,9,들고
47,이케아,9,한
47,시작,8,나도
47,구매,8,맞춰
46,심벌,8,좋고
46,리,8,나를
46,사용,8,같다
46,가격,8,편안한
45,집,8,보실
44,뮤직,8,해주셔서
43,리듬,8,쓰는
42,히코,8,주니수기
