바차타 등장횟수,관련명사,바차타 등장횟수,관련서술어
3096,살사,99,배우기
2386,바차타,84,따
1642,댄스,80,보니
1297,라틴,52,센
865,동호회,47,들
630,홍대,38,좋아요
543,취미,38,미치리
359,여행,33,좋아하고
336,수업,26,댄
316,강습,24,해서
307,강남,24,많은
280,춤,23,넘
262,소셜,23,즐거운
252,운동,22,해주세요
229,클럽,22,좋은
214,다이어트,20,까사
213,파티,17,춤추는
209,에버,17,감사합니다
202,영어,16,주세요
180,텐션,15,출
166,활동,14,만나요
163,공연,14,미
152,파타야,14,신나게
147,쌤,13,먹고
146,키,13,참
137,좀바,13,멋진
130,방콕,13,즐겁게
126,모임,13,넘나
119,커플,13,크
117,나,13,클
115,오사카,12,새로운
115,바,12,나도
115,부산,12,행복한
114,정모,12,오세요
112,수원,12,한
109,클래스,11,가
109,일상,11,하지
109,쿠바,11,하면
103,직장,11,했어
103,생활,11,나를
98,일본,10,따라
97,사진,10,했는데
94,슈얼,10,하게
94,팔,10,아름다운
89,반,10,낄라
89,초급,10,는
83,스다,9,갈
83,연말,9,배워
77,시간,9,있다
75,맛집,9,쓰
75,베이직,9,싸
73,중,9,받으세요
72,핫,9,그럼
72,주차,9,빤
70,크루,9,고마워
69,신청,9,해주는
68,아카데미,9,이쁜
67,연습,9,재밌는
64,소통,9,하면서
63,맘보,9,어떤것
63,것,8,춤추고
63,홍,8,와
60,번,8,아님
60,주,8,드려요
60,차,8,보는
60,설,8,해야
57,시작,7,마세요
56,콜,7,마시고
54,미군,7,주는
54,부대,7,까
54,오픈,7,배우고
53,음악,7,갑니다
52,새해,7,놀러
52,여기,7,썬
52,달,7,싶은
52,한곡,7,좋아
51,완성,7,와주세요
50,거,7,추는
50,사랑,7,가는
49,블랙,7,되면
49,센,7,춤추기
49,콩,6,본
48,속,6,있죠
48,이번,6,잊지
48,앵,6,즐겨
47,스터디,6,놀아
47,언어,6,봐요
47,교환,6,어느새
47,특강,6,했던
46,서울,6,있고
46,벨,6,있으니
46,영상,6,추고
45,친구,6,오셔서
45,전설,6,달려
45,수강,6,배우는
45,토요일,6,알차게
44,사람,6,죽어
44,우리,6,찐
43,남미,6,보면
43,생일,6,올
