발레 등장횟수,관련명사,발레 등장횟수,관련서술어,자이로토닉 등장횟수,관련명사,자이로토닉 등장횟수,관련서술어,플라잉요가 등장횟수,관련명사,플라잉요가 등장횟수,관련서술어
3484,발레,72,좋아요,3594,필라테스,1141,자이로,3336,요가,98,좋아요
614,무용,65,감사합니다,2710,자이로,94,새로운,1835,플라잉,96,들
414,취미,58,다양한,2248,토닉,60,좋은,1274,필라테스,66,좋은
397,학원,57,보세요,1127,운동,48,많은,1103,운동,49,다양한
377,운동,43,들,487,키네시스,47,들,319,헬스,48,감사합니다
340,필라테스,43,빠른,449,교정,44,보세요,308,수업,46,아쉬
263,수업,42,아름다운,397,재활,43,건강한,297,다이어트,40,해서
214,복,41,좋은,369,강사,42,자세한,256,강사,33,많은
206,댄스,39,많은,350,레슨,42,감사합니다,245,여자,30,먹고
193,팔,39,예쁜,307,트레이닝,41,받으세요,207,번지,30,보내셨나요
191,상담,37,해주세요,303,부산,35,해보세요,203,일상,28,하면
176,일상,28,참,293,센터,34,느끼고,195,레슨,28,미
170,공연,27,바른,287,기구,31,되는,188,개인,28,하러
169,핏,27,아름다,281,그룹,28,좋아요,178,점,26,하지
153,교정,24,아닌,262,청담,25,즐거운,178,기구,25,받으세요
149,스튜디오,24,매거진,227,교육,23,넘,176,김포,24,했어요
141,유아,23,만드는,225,창업,22,하지,176,니스,23,하게
140,중,23,탄,216,스튜디오,21,먹고,167,시간,22,좋
136,다이어트,22,남겨주세요,215,수업,21,미,161,동요,22,행복한
134,요가,22,자세한,194,자격증,20,해주세요,156,스튜디오,22,되는
133,반,21,잡힌,193,바디,20,하시면,153,연휴,21,건강한
132,입시,21,않으면,190,요가,19,메디,153,팔,21,보세요
132,동탄,21,전화하기,184,시간,19,다양한,148,댄스,21,끝나고
129,발레리나,21,누르시면,183,아치,19,한,148,가능,21,건강하게
127,스트레칭,20,는,175,강서구,19,싫을,147,해먹,20,즐거운
121,가방,20,좋,174,니스,18,크,140,몸,19,넘
116,오,20,해서,173,그래비티,18,하며,137,지도자,19,했는데
115,레슨,20,되는,172,화곡,17,함께하세요,131,회원,18,참
114,후,20,느껴,171,피트,17,커,130,바디,18,해주세요
114,데일리,19,보내주시지,169,체형,17,하면,128,맛집,18,즐겁게
111,패션,18,즐거운,168,몸,17,만나,124,폴,18,산단
105,맘,18,나를,163,토탈,17,예쁜,121,건강,17,한
105,여자,17,했는데,156,자세,16,와,120,피트,17,하며
104,가능,17,하면,143,다이어트,16,해서,116,오늘,16,아니라
102,시간,17,보니,143,압구정,15,들의,112,교정,16,해도
100,방문,17,넘,140,회원,15,행복한,111,중,15,넓은
99,사진,16,따,136,건강,14,하러,109,거,15,자세한
99,전화,16,챌,127,개인,14,하겠습니다,109,상담,15,반하다
98,소통,16,만들어,125,대구,14,하시고,108,과정,15,해야
97,우리,16,만나,112,국제,14,높은,104,번,15,예쁜
97,여성,15,해보세요,111,머신,14,서래,104,시작,14,해보세요
95,한국,15,예쁘게,109,주회,13,만들어,99,진행,14,될
94,오늘,15,새로운,107,우리,13,가,99,구래동,14,가
94,폴,15,먹,107,시작,13,얼리,93,리얼,14,있
92,교육,14,즐겁게,104,코스,12,만나요,91,동작,14,않게
91,전공,13,가능한,104,선생,12,있어,91,키즈,13,있다
88,초등,13,잊지,103,점,12,하면서,90,센터,13,나다
88,현대,13,건강한,102,진행,12,감사해요,88,때,13,새로운
88,친구,13,보내셨나요,100,척추,12,좋아하는,87,우리,13,안전한
87,셀카,13,한,99,기능,12,확실한,87,가요,13,원하는
86,의류,13,부탁드려요,98,오후,12,믿고,87,자격증,12,가하는
85,지갑,12,특별한,98,감사,12,될,85,것,12,봐요
84,점,12,원하시는,97,짐,12,주는,83,후,12,쉽게
84,영상,12,하겠습니다,96,스탓,11,가능한,83,감사,12,시켜
84,셀피,12,돌아온,96,아파트,11,마세요,82,명절,12,하면서
81,감사,12,담아,95,오전,11,아니라,82,카톡,12,이쁜
81,종합,12,입니,93,해운대,11,시켜,81,오,12,할수
81,신발,11,좋아하는,93,오,11,했던,80,맘,11,들이
80,츄,11,이쁜,91,오늘,11,들이,80,아메리카,11,받아
80,진행,11,행복한,91,마린,10,찐,79,교육,11,하시면
79,세교,11,뜨,91,시티,10,시원하게,79,수련,11,드세요
79,숲,11,낸,89,클래식,10,하게,79,야사,11,맛있는
79,예약,11,와,87,지도자,10,있고,78,마음,11,들의
78,자세,10,소중한,85,필라,10,나도,76,광주,11,높은
77,스커트,10,하게,85,브랜드,10,빠르게,76,나,11,맞춰
76,작품,10,있고,84,선수,10,높이는,76,체형,11,있답니다
75,체형,10,싶으신,83,청,10,해주신,76,바,11,쾌적한
74,아이,10,했어요,82,나,10,보니,75,동안,11,보내고
74,무료,10,가,82,발레,10,참,75,사우동,10,어떤
72,몸,10,긴,82,인증,10,따라,74,내,10,노은
72,수강,10,않은,80,클래스,10,받고,73,오창,10,같아요
72,체험,10,펼쳐집니다,80,예약,10,꾸준히,72,몸매,10,알려
71,건강,10,어떤,79,프로그램,10,해보고,71,근력,10,보내세요
68,프로필,9,한다,79,중,9,작은,71,전화,10,있을
68,클래스,9,끝나고,78,일산,9,해야,69,데일리,10,하시고
67,뮤지컬,9,보여,77,가능,9,배우고,68,반,10,할게요
66,나,9,건강하고,76,폴,9,했어요,68,장,10,가합
66,레오타드,9,먹고,76,새해,9,건강하게,67,새해,10,하시는게
65,관리,9,했더니,75,모던,9,보내시고,66,소마,10,돼요
64,강사,9,미,75,여자,9,느껴,65,게,10,소소한
64,최고,9,될,74,잉고,9,보면,65,핏,10,좋아
63,에르메스,9,입으실,74,짐코리,9,들어오셔서,65,쌤,10,없음
61,내,9,드릴게요,74,퍼스트,9,풀리,63,설,9,들은
61,것,9,마세요,73,오픈,9,내자이로,63,설치,9,찐
61,강남,9,알려,73,청담동,9,하셔서,61,끝,9,오셔서
61,연습,9,팜,72,프라이빗,9,아름다,60,관리,9,예뻐지는
61,신청,9,커진,69,연휴,9,해주셔서,60,무료,9,빈야사
61,촬영,9,말아야,69,움직임,9,아닌,60,수원,9,드릴게요
60,예고,9,해야,68,근육,9,건강하고,60,행복,9,가건대
60,영화,9,되었어요,67,것,9,원하는,60,복,9,볼까
60,연휴,9,하시면,67,동작,8,올,59,포,9,반하다서
60,오픈,9,보면,67,때,8,않게,59,만,9,챈
58,티,9,하지,65,필,8,인해,58,출구,9,만나요
58,동작,8,하는데,65,키즈,8,맞아,58,소통,9,만나는
57,워머,8,아름답게,63,파인,8,쉽고,58,공간,9,드려요
57,센터,8,드려요,62,상담,8,입니,57,남자,9,찍어
57,발표,8,두고,62,배,8,따뜻한,56,프로그램,9,되
57,분당,8,편하게,60,원장,8,좋아,56,휘트,9,멋진
56,줄,8,따라,60,남자,8,큰,55,개,9,했던
55,블랙,8,올려,60,거,8,하다,55,하루,9,아프지
